"id","Appliances"
"1",104.099384295182
"2",121.662783777798
"3",103.957194032182
"4",107.12907086916
"5",100.723097145307
"6",105.754531497928
"7",107.010557730486
"8",111.66117559192
"9",106.197992021281
"10",106.423311533146
"11",112.210504502368
"12",112.962084650619
"13",106.616456288501
"14",107.901565259191
"15",107.315225419689
"16",104.394064509754
"17",104.762977101969
"18",103.729094616234
"19",103.627595857647
"20",111.181640470841
"21",105.327484488921
"22",106.06640310136
"23",106.945691836442
"24",106.135566638181
"25",106.909231203107
"26",108.105615480877
"27",108.819216123388
"28",105.630391653599
"29",104.54521833114
"30",105.296866739873
"31",107.958068589532
"32",104.482916003073
"33",108.333569276156
"34",104.681990010497
"35",103.876879482085
"36",105.975740241768
"37",114.424983512895
"38",109.082365853569
"39",104.130376562147
"40",103.845274110664
"41",103.158595131509
"42",107.095563817557
"43",104.538603094355
"44",106.769976318477
"45",103.633003684123
"46",104.290429686332
"47",104.035726920239
"48",109.192398275215
"49",105.078556230213
"50",104.257626661221
"51",103.954097388055
"52",104.71325070999
"53",112.144742185344
"54",104.986078865482
"55",105.290439286011
"56",126.065913331613
"57",102.530608499008
"58",123.644957199385
"59",101.517735753073
"60",104.322578149934
"61",101.120691908536
"62",106.191833968697
"63",103.213142382547
"64",100.739852118385
"65",109.665011539614
"66",110.863992417687
"67",108.906706155864
"68",106.423652749811
"69",102.699267639632
"70",111.308723051294
"71",106.674146685683
"72",103.360250937095
"73",104.911966614065
"74",105.115468981165
"75",104.4660736908
"76",108.290651596794
"77",107.041823714979
"78",105.163207592773
"79",108.278730698989
"80",105.233399739146
"81",102.41971625492
"82",106.219044241391
"83",105.148064053506
"84",105.806287644947
"85",104.990239379406
"86",113.574966524313
"87",102.423256557688
"88",106.2048100633
"89",104.232943164499
"90",106.506102360065
"91",106.371948310872
"92",113.173903003832
"93",107.197055413259
"94",104.845072907301
"95",109.979557484743
"96",101.987413792028
"97",113.149514086383
"98",103.520296098469
"99",102.237787085877
"100",105.982590992438
"101",104.905359291339
"102",104.048747298927
"103",123.034125417429
"104",104.27688850996
"105",106.247754816741
"106",113.483283011143
"107",104.905771764331
"108",104.111038323654
"109",112.774602976656
"110",103.749634775791
"111",113.894653443971
"112",105.602494599311
"113",105.199214983473
"114",105.808501419885
"115",103.205827419617
"116",106.148842610033
"117",105.162928970278
"118",120.948348002933
"119",104.093730792325
"120",121.052089643342
"121",105.967173392876
"122",104.388774597633
"123",111.75057898508
"124",100.682294040781
"125",107.798177760753
"126",106.561363888838
"127",104.124698729939
"128",105.945185834007
